street_name,date,total_vol_l3,total_weight_kg
clifton terrace,2016-07-01,684.025326,47.881773
clifton terrace,2016-07-02,344.448885,24.111422
clifton terrace,2016-07-04,351.031513,24.572206
clifton terrace,2016-07-05,381.4152,26.699064
clifton terrace,2016-07-07,605.782416,42.404769
clifton terrace,2016-07-08,426.613225,29.862926
clifton terrace,2016-07-09,475.075204,33.255264
clifton terrace,2016-07-10,146.721472,10.270503
clifton terrace,2016-07-12,621.063273,43.474429
clifton terrace,2016-07-13,397.108246,27.797576999999997
clifton terrace,2016-07-15,237.435408,16.620479
clifton terrace,2016-07-16,602.248045,42.157363000000004
clifton terrace,2016-07-17,354.925393,24.844777
clifton terrace,2016-07-19,715.070483,50.054934
clifton terrace,2016-07-20,635.4883130000001,44.484181
clifton terrace,2016-07-21,289.499525,20.264967
clifton terrace,2016-07-22,214.891886,15.042432
clifton terrace,2016-07-23,584.323592,40.902652
clifton terrace,2016-07-24,625.461609,43.782313
clifton terrace,2016-07-25,297.423138,20.81962
clifton terrace,2016-07-26,226.687081,15.868096
clifton terrace,2016-07-28,720,50.400000000000006
clifton terrace,2016-07-29,706.60104,49.462073000000004
clifton terrace,2016-07-30,434.94251099999997,30.445975
clifton terrace,2016-08-01,180.557918,12.639054
clifton terrace,2016-08-02,455.450079,31.881505
clifton terrace,2016-08-03,160.187888,11.213152
clifton terrace,2016-08-04,482.144749,33.750132
clifton terrace,2016-08-05,201.003834,14.070268
clifton terrace,2016-08-06,240,16.8
clifton terrace,2016-08-07,476.724337,33.370703000000006
clifton terrace,2016-08-08,353.377646,24.736435999999998
clifton terrace,2016-08-09,131.669267,9.216849
coates crescent,2016-06-03,669.5142989999999,46.866001
coates crescent,2016-06-07,715.070187,50.054914
coates crescent,2016-06-11,708.188281,49.57318
coates crescent,2016-06-15,516.213035,36.134913
coates crescent,2016-06-18,574.460278,40.212219
coates crescent,2016-06-21,397.24041,27.806829
coates crescent,2016-06-22,184.680488,12.927634
coates crescent,2016-06-24,616.440285,43.150819999999996
coates crescent,2016-06-25,191.48175500000002,13.403723
coates crescent,2016-06-28,423.585978,29.651018999999998
coates crescent,2016-06-29,236.590947,16.561366
coates crescent,2016-07-05,712.908624,49.903603000000004
coates crescent,2016-07-07,97.934843,6.855439
coates crescent,2016-07-08,387.60879600000004,27.132615
coates crescent,2016-07-11,578.762769,40.513393
coates crescent,2016-07-13,634.240464,44.396833
coates crescent,2016-07-15,551.589525,38.611267
coates crescent,2016-07-17,370.08957999999996,25.906271
coates crescent,2016-07-19,611.9544530000001,42.836812
coates crescent,2016-07-20,471.5965,33.011755
